domain,control_diff,experimental_diff,diff_in_diff
spicychat.ai,0.9298245614035088,0.2993442622950819,-0.6304802991084268
javdock.com,0.5181818181818182,0.0592910234419667,-0.4588907947398514
metro.co.uk,0.389294403892944,0.0,-0.389294403892944
polygon.com,0.4328587414479915,0.0518199028426156,-0.3810388386053759
hentairead.com,0.3485254691689008,0.0,-0.3485254691689008
economictimes.com,0.3325808878856283,0.0128559169155426,-0.3197249709700857
blitz.bg,0.3715708003375746,0.096071289007983,-0.2754995113295916
rateyourmusic.com,0.2669261849644226,0.0017716219146142,-0.2651545630498084
lokmat.com,0.4131889993784186,0.153051017326206,-0.2601379820522125
musescore.com,0.272865166102871,0.0202609292061788,-0.2526042368966922
sway.com,0.8981203007518797,0.6616402116402116,-0.236480089111668
cricheroes.in,0.1999999999999999,0.0,-0.1999999999999999
wpolityce.pl,0.2485549132947977,0.0488165680473372,-0.1997383452474604
fourseasons.com,0.2142645373200137,0.0215174276853067,-0.1927471096347069
dailymotion.com,0.5490691326001159,0.3767969608131245,-0.1722721717869914
eldestapeweb.com,0.309957484767777,0.1409360549859463,-0.1690214297818307
freeporno.xxx,0.3213816317163187,0.1574148611116279,-0.1639667706046907
nykaa.com,0.1654727160166268,0.011111111111111,-0.1543616049055157
inmobi.com,0.1591232789998418,0.0056179775280899,-0.1535053014717519
transfermarkt.com.tr,0.4460863931389873,0.2943058763369253,-0.151780516802062
rei.com,0.1617831380179367,0.0100284122772882,-0.1517547257406485
mako.co.il,0.2350883928086187,0.0856105387138674,-0.1494778540947512
elnacional.cat,0.21005986991674,0.0625967767455049,-0.1474630931712351
vjav.com,0.7387562314648572,0.5917905516228256,-0.1469656798420316
www.gob.mx,0.1388854221818823,0.0,-0.1388854221818823
hoyolab.com,0.5143799046195681,0.3804290646890466,-0.1339508399305214
metacritic.com,0.1316701316701316,0.0,-0.1316701316701316
3ds.com,0.1304347826086956,0.0,-0.1304347826086956
nytimes.com,0.232857412762781,0.1050093190369892,-0.1278480937257917
olx.ro,0.1960598096621595,0.0693684551542547,-0.1266913545079048
hotels.com,0.2774464928240717,0.1513580400634402,-0.1260884527606315
familysearch.org,0.1433860935418568,0.0178446061192636,-0.1255414874225932
vogue.com,0.2266016408846208,0.1037230157620433,-0.1228786251225775
thscore.mobi,0.2288041281323927,0.1089230906863757,-0.1198810374460169
hankyung.com,0.1375745379504184,0.017753850280648,-0.1198206876697703
xxxshake.com,0.1771634308438427,0.0644659925392368,-0.1126974383046059
namebright.com,0.2275413711583924,0.1164082101294172,-0.1111331610289751
p-world.co.jp,0.298953942878285,0.1908507768569196,-0.1081031660213653
overdrive.com,0.2522372182057537,0.1463254940708548,-0.1059117241348989
nanit.com,0.1368851170831369,0.0317829457364341,-0.1051021713467027
cas.sk,0.1527434503213049,0.0490487310955185,-0.1036947192257864
espncdn.com,0.1079770768022887,0.0067805259755724,-0.1011965508267163
aljazeera.net,0.2063404810066366,0.1099365993769789,-0.0964038816296576
pressreader.com,0.0955882352941176,0.0,-0.0955882352941176
xnxxx.xyz,0.502628156026118,0.4075282947979356,-0.0950998612281823
kamigame.jp,0.1153561960774059,0.0206860120654973,-0.0946701840119086
bustybus.com,0.3087190968115909,0.2141678005029638,-0.0945512963086271
bookmark.xxx,0.1343551067518482,0.0410087967430212,-0.0933463100088269
pricesmart.com,0.297595614498267,0.2047863320128711,-0.0928092824853958
bustle.com,0.0909090909090909,0.0,-0.0909090909090909
xcafe.com,0.2772827920038734,0.1876435520277889,-0.0896392399760844
pornpics.com,0.2957905463092866,0.2066494229261777,-0.0891411233831088
fanatik.com.tr,0.2780557134838378,0.1903541108581337,-0.0877016026257041
ijavhd.com,0.0937106255977229,0.0082962962962962,-0.0854143293014266
a.co,0.5572382525046224,0.4745997940290137,-0.0826384584756086
