domain,screenshot_difference,samples
theporndude.com,0.0,6
telenor.se,0.0,52
boun.edu.tr,0.0,54
semana.com,0.0,2
cfr.org,0.0,48
msk.ru,0.0,20
publicstuff.com,0.0,51
bartleby.com,0.0,25
sync.com,0.0,51
rosario.gob.ar,0.0,52
macworld.com,0.0,5
whiterabbitpress.com,0.0,54
bayern.de,0.0,50
connectedpdf.com,0.0,54
giga.de,0.0,50
rokt.com,0.0,46
imgix.net,0.0,54
samplicio.us,0.0,54
zeasn.tv,0.0,52
krstarica.com,0.0,6
siteground.biz,0.0,52
trafficjunky.net,0.0,54
googleapis.cn,0.0,54
piojm.tech,0.0,54
woocommerce.com,0.0,18
brookings.edu,0.0,36
bodis.com,0.0,54
cell.com,0.0,50
adlightning.com,0.0,54
v-mate.mobi,0.0,54
faucetearner.org,0.0,54
faqs.org,0.0,51
meitu.com,0.0,43
fortinet.com,0.0,10
mapquest.com,0.0,54
google.com.eg,0.0,54
cntv.cn,0.0,26
trenitalia.com,0.0,33
boe.es,0.0,54
chinanews.com.cn,0.0,54
curl.se,0.0,54
vuejs.org,0.0,54
yangkeduo.com,0.0,54
transacme.com,0.0,54
flashscore.com.ua,0.0,4
zend.com,0.0,50
kahoot.it,0.0,53
flic.kr,0.0,54
cvs.com,0.0,4
lg.co.kr,0.0,6
clinch.co,0.0,53
jiathis.com,0.0,54
lbl.gov,0.0,54
local.ch,0.0,54
clickbank.net,0.0,53
fotogramas.es,0.0,18
quovadisglobal.com,0.0,55
slobodnadalmacija.hr,0.0,3
crossmh.ru,0.0,54
threatlocker.com,0.0,51
arenaplus.net,0.0,54
haxx.se,0.0,54
wikidot.com,0.0,53
ilo.org,0.0,53
nurd.com,0.0,54
arcticwolf.net,0.0,21
cpan.org,0.0,52
schneier.com,0.0,54
immobilienscout24.de,0.0,47
mathworks.com,0.0,53
isc.org,0.0,54
tubemogul.com,0.0,54
clickagy.com,0.0,54
ucsb.edu,0.0,50
woo.com,0.0,30
toyota.com,0.0,6
redbubble.com,0.0,1
zenlogic.net,0.0,54
yastatic.net,0.0,51
zalando.pl,0.0,3
guidestar.org,0.0,52
nld.com.vn,0.0,50
wixapps.net,0.0,54
evidence.com,0.0,54
eskimi.com,0.0,50
unt.edu,0.0,44
makeup.com.ua,0.0,18
bms.com,0.0,55
gamingbible.com,0.0,3
adguard.com,0.0,54
thomsonreuters.com,0.0,24
fisglobal.com,0.0,6
megapersonals.eu,0.0,54
shrmha.com,0.0,55
mp3juice.blog,0.0,54
visiblemeasures.com,0.0,51
browser-intake-datadoghq.eu,0.0,55
nouvelobs.com,0.0,1
philips.com,0.0,18
dbankcdn.cn,0.0,54
lkqd.net,0.0,53
uribl.com,0.0,54
uspto.gov,0.0,52
about.me,0.0,54
skimresources.com,0.0,54
lenovomm.com,0.0,54
streamtheworld.com,0.0,50
fcc.gov,0.0,50
urldefense.com,0.0,54
padlet.com,0.0,54
lastline.com,0.0,22
dol.gov,0.0,50
locaweb.com.br,0.0,52
sendinblue.com,0.0,50
pathofexile.com,0.0,54
login.gov,0.0,55
voici.fr,0.0,42
mobiusltd.com,0.0,54
oecd-ilibrary.org,0.0,51
itau.com.br,0.0,51
mystrikingly.com,0.0,54
starlink.com,0.0,51
imolive2.com,0.0,54
accor.com,0.0,50
spb.ru,0.0,18
osu.edu,0.0,50
unimelb.edu.au,0.0,53
jeuxvideo.com,0.0,24
joomla.org,0.0,54
powerbi.com,0.0,54
net-line.pro,0.0,46
sueddeutsche.de,0.0,5
consumerreports.org,0.0,3
nsw.gov.au,0.0,2
kb4compliance.com,0.0,53
fbi.gov,0.0,54
carfax.com,0.0,51
opensource.org,0.0,52
thomsonreuters.net,0.0,10
dbankedge.net,0.0,54
gmx.net,0.0,50
pubnub.com,0.0,54
us.com,0.0,54
ucoz.ru,0.0,49
jagex.com,0.0,54
zeit.de,0.0,1
gamepind.com,0.0,54
serverdata.net,0.0,54
igvita.com,0.0,51
alz.org,0.0,53
formula1.com,0.0,8
sportsdirect.com,0.0,51
sniffies.com,0.0,54
motimate.app,0.0,54
star4live.com,0.0,54
oray.com,0.0,33
ninjarmm.com,0.0,12
tufts.edu,0.0,46
163img.com,0.0,54
xero.com,0.0,54
eurekalert.org,0.0,54
foresee.com,0.0,54
instana.io,0.0,54
cognitivlabs.com,0.0,50
hrw.org,0.0,6
workday.com,0.0,17
ciscospark.com,0.0,38
southwest.com,0.0,46
gatech.edu,0.0,51
bitmoji.com,0.0,54
themegrill.com,0.0,40
nic.uk,0.0,50
hath.network,0.0,54
splunkcloud.com,0.0,6
plground.live,0.0,50
shonenjumpplus.com,0.0,4
eapteka.ru,0.0,54
impress.co.jp,0.0,55
homeadvisor.com,0.0,47
adspend.space,0.0,54
carrierzone.com,0.0,52
logi.com,0.0,18
radiotimes.com,0.0,4
rainews.it,0.0,13
liverpoolecho.co.uk,0.0,1
wipo.int,0.0,39
met.no,0.0,51
nottingham.ac.uk,0.0,18
michelin.com,0.0,54
steaminventoryhelper.com,0.0,47
substackcdn.com,0.0,54
bloomberglaw.com,0.0,50
eukdns.com,0.0,50
9news.com.au,0.0,1
inkuai.com,0.0,42
adtdp.com,0.0,54
pswec.com,0.0,54
philly.com,0.0,1
disa.mil,0.0,54
nic.io,0.0,54
cvent.com,0.0,30
securedvisit.com,0.0,54
shawcable.net,0.0,32
mheducation.com,0.0,6
sparkpostmail.com,0.0,54
popin.cc,0.0,52
googleoptimize.com,0.0,54
telstra.com.au,0.0,5
insightexpressai.com,0.0,54
ctnsnet.com,0.0,51
mcgill.ca,0.0,54
volkswagen.de,0.0,12
zenon.net,0.0,35
dns.pt,0.0,54
bundesregierung.de,0.0,2
hosteurope.de,0.0,54
ucar.edu,0.0,53
safar724.com,0.0,50
animesonlinecc.to,0.0,54
chashmak.ir,0.0,10
cashpag.com,0.0,54
centraldasapostas.net,0.0,55
nflshop.com,0.0,4
prntscr.com,0.0,53
hpdaas.com,0.0,50
goopago.com,0.0,50
marphezis.com,0.0,1
tcsbank.ru,0.0,23
3322.net,0.0,54
miami.edu,0.0,44
govinfo.gov,0.0,53
storeland.ru,0.0,46
ngrok.io,0.0,53
heise.de,0.0,6
aetna.com,0.0,34
stlouisfed.org,0.0,54
leeds.ac.uk,0.0,31
unixtools.org,0.0,51
hwccpc.com,0.0,54
sonnen.de,0.0,53
yumpu.com,0.0,35
univie.ac.at,0.0,41
google.ie,0.0,36
optimumdesk.com,0.0,11
qiniudns.com,0.0,54
mimecast.net,0.0,51
daiwa.co.jp,0.0,54
dialoguecorp.com,0.0,44
foxsports.com.mx,0.0,6
aqsi.ru,0.0,47
gounn.ru,0.0,54
ezodn.com,0.0,5
estadiodeportivo.com,0.0,1
chegg.com,0.0,54
qxbroker.com,0.0,54
dagospia.com,0.0,47
softonic.com,0.0,1
ed.ac.uk,0.0,54
usembassy.gov,0.0,52
