domain,control_diff,experimental_diff,diff_in_diff
necb.bank,0.0,0.0,0.0
terabox.com,0.0,0.0,0.0
kroger.com,0.24960761710345825,0.15866400783750156,-0.09094360926595668
crowdstrike.com,0.13155492090378296,0.1986512658057108,0.06709634490192784
wizzair.com,0.06666666666666665,0.06666666666666665,0.0
google.kg,0.0074183447081187515,0.007679356951777794,0.0002610122436590423
google.com.ag,0.00512380586793082,0.003980202850304315,-0.0011436030176265044
google.com.jm,0.020026258528050067,0.05885404841976005,0.038827789891709985
nrk.no,0.008277356488957999,0.008899712511704294,0.0006223560227462954
distmed.com,0.0,0.0,0.0
google.com.om,0.021329055869805935,0.0391751647046068,0.017846108834800867
google.hn,0.04472821613568101,0.02018388614019906,-0.02454432999548195
mywot.com,0.026311502117953744,0.0035842293906810374,-0.022727272727272707
wapbold.net,0.4091203307898421,0.420772725204854,0.011652394415011869
google.gg,0.01970662368511522,0.018126413656019302,-0.0015802100290959187
zlib.net,0.0,0.0,0.0
google.com.ni,0.02064290150496273,0.02055757362274757,-8.532788221515819e-05
apple.co,0.019835094593576352,0.005028179793082899,-0.014806914800493454
google.com.mt,0.06635158186258683,0.03845496352086131,-0.02789661834172552
bokepmama.hair,0.014701330857319728,0.014701330857319728,0.0
poe.com,0.054192323009527366,0.05134332016052445,-0.002849002849002913
google.com.qa,0.02019961475280918,0.021007077337806268,0.0008074625849970873
congbisajp.com,0.05699482929835975,0.035296348295012825,-0.021698481003346926
byu.edu,0.07257618502672036,0.07257618502672036,0.0
buffer.com,0.019253241488249695,0.000408926276434185,-0.01884431521181551
riskified.com,0.08295515132375542,0.1438769200024822,0.060921768678726784
metlife.com,0.052585772326193214,0.10226812841092092,0.04968235608472771
bluecore.com,0.00024999999999997247,0.0002358490566037874,-1.4150943396185056e-05
safeway.com,0.2644158682574055,0.35871921538097584,0.09430334712357036
google.com.gi,0.016306700808877195,0.01641826411378755,0.00011156330491035593
healthcare.gov,0.0,9.827597475753347e-05,9.827597475753347e-05
wampserver.com,0.0,0.0,0.0
google.co.bw,0.019153448504396264,0.019153448504396264,0.0
google.com.mm,0.05767266179020247,0.059088331803513916,0.001415670013311443
hihonor.com,0.005557600294442411,0.005559645033329286,2.0447388868749528e-06
google.bi,0.07974096673382036,0.035807580868195354,-0.04393338586562501
google.dm,0.0,0.0,0.0
business-standard.com,0.09616407088107082,0.0766491371268303,-0.019514933754240515
firstvds.ru,5.694598673156026e-05,5.694598673156026e-05,0.0
rfi.fr,0.0006657774432494712,0.000753160961324828,8.738351807535683e-05
tinkercad.com,0.048222005030149506,0.06949087927867259,0.021268874248523084
google.com.ly,0.05392964210810525,0.017785345039796452,-0.036144297068308795
tradedoubler.com,0.018122942247360996,0.018011297723524944,-0.00011164452383605195
getepic.com,0.126970991819623,0.126970991819623,0.0
tappx.com,0.0010733452593917336,0.0014260249554367554,0.0003526796960450218
eonline.com,0.1304585084506975,0.1304585084506975,0.0
gigaset-elements.com,0.0,0.0,0.0
clicktripz.com,0.0,0.0,0.0
dpbosss.com,0.0006653623331059899,0.0008292897643806807,0.00016392743127469078
google.com.kw,0.0,0.018550520190442565,0.018550520190442565
womenshealthmag.com,0.0,0.0,0.0
google.com.et,0.0,0.0,0.0
yedherex.com,0.0003370407819346388,0.0003083564600678823,-2.8684321866756513e-05
google.com.bh,0.019103801226706296,0.0621462719544571,0.0430424707277508
google.ps,0.0,0.018743352146957104,0.018743352146957104
google.cg,0.001984126984126977,0.022075503639749416,0.02009137665562244
ct.gov,0.0,0.0,0.0
csmonitor.com,0.146520305894149,0.16965512215561684,0.02313481626146785
google.com.gh,0.09820925962914873,0.09081640868335972,-0.007392850945789009
apnaludo.com,0.0,0.0,0.0
google.mu,0.07752241783224711,0.055844284404384825,-0.02167813342786229
gene.com,0.0,0.0,0.0
keenetic.link,0.008051529790660261,0.009661835748792313,0.0016103059581320522
google.com.bz,0.0,0.018897562833206427,0.018897562833206427
onefootball.com,0.3412414191214592,0.3412414191214592,0.0
survicate.com,0.0005505820427168517,0.000925944671263057,0.0003753626285462053
meituan.net,0.0,0.09090909090909094,0.09090909090909094
bongacams.com,0.05529920071619032,0.05785813624392455,0.0025589355277342296
google.cd,0.01990466134956448,0.018341477735916212,-0.0015631836136482669
routledge.com,0.0,0.00014897579143391404,0.00014897579143391404
kucoin.com,0.10013892780782219,0.10853231707417188,0.008393389266349693
google.com.bn,0.01994656870930034,0.018517870269891823,-0.0014286984394085156
google.sn,0.019867953275774508,0.0,-0.019867953275774508
urban-vpn.com,0.004293959999839392,0.004055454575298878,-0.00023850542454051382
zoominfo.com,0.06392499530545381,0.06216570662225274,-0.0017592886832010768
farfetch.com,0.027594966230735873,0.014304565963413562,-0.013290400267322311
verisign.net,0.0,0.0,0.0
google.co.zm,0.09552052558557123,0.0749299384855171,-0.020590587100054125
google.com.ai,0.039050145990215945,0.03980895920300276,0.000758813212786813
mysterium.network,0.03627286457120216,0.029061876634911554,-0.007210987936290603
google.co.ug,0.03781176062811764,0.04978890022572857,0.01197713959761093
google.fm,0.018070840654767384,0.010044642857142905,-0.00802619779762448
google.com.na,0.0573401674622428,0.04064402950002066,-0.016696137962222135
google.sc,0.0,0.019385342789598137,0.019385342789598137
google.co.ck,0.0,0.01966355140186915,0.01966355140186915
neilpatel.com,0.0,0.0,0.0
teleparty.com,0.0,0.0,0.0
particlenews.com,0.0,0.0,0.0
nag.ru,0.0008636090396323404,0.000984921201881983,0.0001213121622496427
rajshaladarpan.nic.in,0.058584499912619825,0.04886972461236483,-0.009714775300254996
google.tk,0.0558568228801255,0.01646373528578937,-0.03939308759433613
snssdk.com,0.017094017094017144,0.023222060957910018,0.006128043863892874
google.us,0.024927267227541905,0.0007122507122506727,-0.024215016515291232
google.bf,0.034027011565542,0.048120443836534355,0.014093432270992357
elconfidencial.com,0.10788939976002965,0.1031464843673,-0.004742915392729641
gazeta.pl,0.09302325581395354,0.09686924493554327,0.0038459891215897324
google.co.tz,0.018396253033124532,0.06147867806886642,0.04308242503574189
google.ml,0.018517219611418945,0.01844406152275191,-7.315808866703577e-05
google.co.ls,0.033796430372051045,0.0339071452889369,0.00011071491688585677
google.li,0.019859484777517533,0.019103801226706296,-0.000755683550811237
google.co.ao,0.01751028806584365,0.036757125484898956,0.019246837419055307
elespanol.com,0.0008243085726689081,0.05555112651787597,0.05472681794520706
hotmart.com,0.002365936883840347,0.00010444001872045305,-0.002261496865119894
leetcode.com,0.01867046446659093,0.018693750648536622,2.3286181945691986e-05
kku.ac.th,0.024532479958933373,0.04869912364800855,0.024166643689075173
google.mw,0.11073381034198548,0.02879413518228191,-0.08193967515970357
google.ki,0.01966355140186915,0.017875955819881106,-0.001787595581988044
sendpulse.com,0.0021486691036857186,0.000958149965188726,-0.0011905191384969926
userreport.com,0.0,0.0,0.0
google.tt,0.03826215084015605,0.018680007343491845,-0.019582143496664206
utdallas.edu,0.07532040043888921,0.08213644879489113,0.006816048356001914
box.net,0.05934124888908654,0.04612050558614256,-0.013220743302943982
hotstar.com,0.0009259259259258856,0.00030864197530866555,-0.0006172839506172201
gnome.org,0.019607843137254943,0.019607843137254943,0.0
google.so,0.07350288087978285,0.05155256580459855,-0.0219503150751843
verizonwireless.com,0.037483595566108585,0.043863055998455636,0.0063794604323470505
google.com.sl,0.039086212101268836,0.0,-0.039086212101268836
google.cv,0.03820773135493949,0.03957266165477946,0.0013649302998399726
google.bj,0.10968527996172583,0.07995257682188728,-0.029732703139838557
etoote.com,0.0020254629629629095,0.0020636792452830566,3.8216282320147066e-05
prtimes.jp,0.008170551431500916,0.08292386394668316,0.07475331251518225
prodigygame.com,0.000558626799130213,0.019335724582972613,0.0187770977838424
google.co.vi,0.019362745098039258,0.0,-0.019362745098039258
google.ms,0.01916445623342178,0.042979865350123214,0.023815409116701436
google.mk,0.03657056117025792,0.015334572490706355,-0.021235988679551565
google.rw,0.05920502752398249,0.05691821295062305,-0.0022868145733594414
google.mv,0.05946242454953743,0.039028391375492966,-0.020434033174044464
google.ws,0.0,0.0,0.0
google.co.zw,0.018509615384615374,0.017824074074074048,-0.0006855413105413266
superawesome.tv,0.0023964237008140543,0.0023964237008140543,0.0
doxygen.org,0.058192135915406173,0.05676279512111004,-0.00142934079429613
ebscohost.com,0.0,0.0,0.0
icloud.com.cn,0.0,0.0,0.0
alltrails.com,0.2547605814127005,0.24482322608845708,-0.009937355324243446
disney.co.jp,0.011649279658527245,0.011304452072320337,-0.00034482758620690834
jwplatform.com,0.0006736812219459987,0.0006736812219459987,0.0
segmento.ru,0.025019825535289475,0.10485360512405284,0.07983377958876336
icicibank.com,0.005530790170794386,0.0036264598404825987,-0.0019043303303117876
google.gl,0.039491626408703184,0.0413624908310104,0.0018708644223072168
google.com.af,0.035942292093630424,0.039536521302993455,0.0035942292093630313
joyn.de,0.5,0.5,0.0
google.la,0.07070639026151848,0.05353167018795679,-0.01717472007356169
sina.cn,0.22136891585239837,0.48481779400053604,0.26344887814813767
tclking.com,0.019230769230769273,0.012195121951219523,-0.0070356472795497504
google.mg,0.03834830527666644,0.03298307063631056,-0.005365234640355876
google.tm,0.03899391305608413,0.03640498688916349,-0.0025889261669206354
google.pn,0.0,0.0,0.0
revjet.com,0.013557271796780457,0.013557271796780457,0.0
pingdom.net,0.0,0.0,0.0
lever.co,0.004778972520907976,0.005824716024240506,0.0010457435033325302
google.je,0.07616418826429983,0.05069624091744751,-0.025467947346852315
google.nu,0.0,0.03800809256416737,0.03800809256416737
desjardins.com,0.0,0.0,0.0
google.nr,0.03953139006677875,0.0,-0.03953139006677875
google.al,0.017928612268234945,0.033127545927391866,0.015198933659156921
google.ht,0.0366183696598853,0.017172057279803532,-0.019446312380081765
google.com.cy,0.018802862719583646,0.0,-0.018802862719583646
panorama9.com,0.0,0.0,0.0
google.gm,0.02192720763723155,0.04367236928608409,0.02174516164885254
google.dj,0.018743352146957104,0.0,-0.018743352146957104
aralego.com,0.0,0.0,0.0
google.com.sb,0.0,0.018680007343491845,0.018680007343491845
google.sh,0.05946242454953743,0.03350117802269392,-0.025961246526843507
google.vg,0.03822677830816179,0.03411049784487308,-0.004116280463288713
ahagamecenter.com,0.0,0.0,0.0
dbankcloud.asia,0.0,0.0,0.0
theathletic.com,0.0334079458478429,0.08770198916781524,0.05429404331997234
google.vu,0.018405485852077907,0.018802862719583646,0.00039737686750573875
google.com.vc,0.03754129551659757,0.023157688156216216,-0.014383607360381356
google.st,0.0,0.02035364154010244,0.02035364154010244
libpng.org,0.07999743018498684,0.08558007390105227,0.005582643716065427
pstatic.net,0.0,0.0,0.0
gravitational.io,0.01603176937784967,0.01603176937784967,0.0
savefrom.net,0.0,0.0,0.0
allawntech.com,0.019230769230769273,0.0,-0.019230769230769273
mintegral.com,0.0,0.0008809685620075891,0.0008809685620075891
google.td,0.036123551410499055,0.018743352146957104,-0.01738019926354195
refinery29.com,0.14108095546313615,0.14052530030132027,-0.0005556551618158823
radiofrance.fr,0.07769083871296278,0.07849270049620205,0.000801861783239266
iso.ch,0.0,0.0,0.0
google.sm,0.07684477318837568,0.07115631730024286,-0.005688455888132826
lightboxcdn.com,0.06479016319393638,0.06702254765915316,0.0022323844652167857
insurads.com,0.0,0.0,0.0
cyberark.com,0.00041789973358674626,0.0004596449192721952,4.174518568544894e-05
google.tg,0.0,0.039007391882692755,0.039007391882692755
elster.de,0.004106181691136412,0.006181305236870549,0.0020751235457341366
legislation.gov.uk,0.0003405704555129452,0.0,-0.0003405704555129452
google.gy,0.0187527591700416,0.05719674447745671,0.03844398530741511
pg.com,0.0,0.0,0.0
nsf.gov,0.0,0.0,0.0
lastampa.it,0.02360981079889335,0.03550850092322133,0.011898690124327982
convertkit.com,0.0,0.0,0.0
brevo.com,0.0,0.0,0.0
datastax.com,0.017935936755924864,0.019766917245017113,0.0018309804890922488
uq.edu.au,0.0449033552803757,0.06364530129871993,0.018741946018344224
google.com.fj,0.03854609485137628,0.041189037627201386,0.002642942775825108
openweathermap.org,0.011160655885292248,0.02317714737213783,0.012016491486845582
google.gp,0.05962513970209682,0.09687304704420074,0.037247907342103925
justgiving.com,0.00012103606874847017,0.002543692796610819,0.002422656727862349
makeuseof.com,0.15244347121986812,0.18202819607862264,0.02958472485875452
meteofrance.com,0.04058656528426585,0.0515949683910667,0.011008403106800846
google.im,0.019113389154080895,0.035264238657514824,0.01615084950343393
uefa.com,0.0,0.0,0.0
scoop.it,0.0,0.0,0.0
desmos.com,0.08009561077156502,0.0829705485347042,0.002874937763139185
