domain,screenshot_difference,samples
navdmp.com,0.0,54
aclu.org,0.004132973944294682,53
ebay.fr,0.006560846560846545,30
grab.com,0.0012489824989825316,54
pushd.com,0.0001274801763568867,55
microsoftcasualgames.com,0.0,54
mhlw.go.jp,0.0033719158392820914,54
kotaku.com,0.24285714285714288,2
xham.live,0.01031236336107344,52
frameo.net,0.021971872202951825,50
mercadopago.com,0.0,54
yandex.com.tr,0.014889484073626669,54
twnic.net.tw,0.06925322752698293,49
1gb.ru,0.016909620991253593,49
abril.com.br,0.0,50
amazon.nl,0.008333333333333304,8
petsmart.com,0.3821428571428571,4
wassenaar.org,0.006981792053686431,54
hwg.org,0.008847736625514413,54
phonefactor.net,0.061821219715956555,19
aptoide.com,0.03885006245440814,54
devline.tv,0.0,54
sicredi.com.br,0.03433590109157503,51
bluecava.com,0.0,55
angi.com,0.0,51
abebooks.com,0.004472621460598236,54
quad9.net,0.0,54
myharmony.com,0.0023073338469780102,54
swarovski.com,0.1412520064205457,3
respawn.com,0.009025799303577053,54
ximalaya.com,0.04480927613884911,17
wolfram.com,0.005580202532676215,50
ora.com,0.03157727462344995,49
ameli.fr,0.0005409920558023806,53
apartments.com,0.2253887959159525,12
termsfeed.com,0.0024691358024691024,54
softbank.jp,0.032076476320103464,38
cash.app,0.08069621611551658,42
military.com,0.003795696122769754,17
blogspot.fr,0.010824735366300464,51
habr.com,0.030783732188003454,25
postimg.cc,0.018835213600615464,46
megaphone.fm,0.00437316462755355,54
nanoleaf.me,0.06353586587687254,6
documentcloud.org,0.0,53
basecamp.com,0.016387866689888786,36
msdmanuals.com,0.0,54
usbank.com,0.0896747079554131,49
kzhi.tech,0.0,54
royalmail.com,0.031016827090477705,24
ilex.by,0.0676389494453461,49
scotiabank.com,0.008735353979866911,53
ajc.com,0.23865923040059955,9
real.com,0.0,55
emulab.net,0.01581516305507813,54
alamy.com,0.0005067110435206246,54
chromium.org,0.0,51
freetds.org,0.0,53
pdflib.com,0.0,52
serasa.com.br,0.003624601573356534,44
tv2.no,0.00195694716242667,2
manyvids.com,0.08633283998664909,45
3m.com,0.018816137566137536,48
gba.gob.ar,0.026339821704052024,47
voximplant.com,0.0025916387677757946,54
cloudtrax.com,0.0,54
tmdb.org,0.00024898848428256404,51
namefind.com,0.0,54
spribegaming.com,0.001785087029561594,50
flat-ads.com,0.00017636684303345973,54
nato.int,0.007065048241518879,51
corel.com,0.0,54
zaloapp.com,0.0,54
wordfence.com,0.0,53
doodle.com,0.025925925925925908,24
lapresse.ca,0.228421667951358,7
filezilla-project.org,0.029629629629629672,54
chrome.com,0.012117342416955168,54
stern.de,0.23809523809523814,4
vistaprint.com,0.0,6
namecheap.com,0.0002714440825190012,6
prava-online.net,0.017684851718465122,51
salesloft.com,0.008413957467732991,54
allianz.com,0.03035714285714286,32
vonage.com,0.0019047619047618536,50
xundns.com,0.002983309365688469,54
casasbahia.com.br,0.06229432175573313,28
avira.net,0.0,54
mobilityware.com,0.0,50
formpffiler.com,0.0,54
cadenaser.com,0.0,30
webtoons.com,0.09836349509322517,9
uky.edu,0.0,54
virtualbox.org,0.000661375661375696,36
fextralife.com,0.0,3
zyxel.com,0.017432671152002754,42
wunderkind.co,0.0,53
meson.ai,0.0,54
myqnapcloud.com,0.0,54
clemson.edu,0.0,13
economictimes.com,0.0,2
sberbank-tele.com,0.05818160597572364,34
freedesktop.org,0.0,51
ifconfig.io,0.0,54
videoamp.com,0.03803648611893984,54
apache-ssl.org,0.0,2
ohmy.bid,0.0,54
cisa.gov,0.0,44
thetrainline.com,0.004891612210797591,53
adblockultimate.net,0.0,51
francebleu.fr,0.023626373626373653,13
gsu.edu,0.04916721455182993,39
mil.ru,0.0,54
amazon.ae,0.07324902139309597,10
turismo.gob.ar,0.0,54
canon.com,0.06488847822733079,51
cbr.com,0.010039897638737028,51
producthunt.com,0.021909194649162522,18
xda-developers.com,0.00932007295514592,42
odnoklassniki.ru,0.0,53
ons.gov.uk,0.0,53
cleverwebserver.com,0.08955873015873017,50
lulu.com,0.04574303589242501,53
boots.com,0.007227387996618706,6
specbench.org,0.0,54
bluestacks.com,0.0,12
sliide.cloud,0.0004934383455718061,54
fas.org,0.0,54
webthing.com,0.0,52
looker.com,0.0,6
iowa.gov,0.0,7
wikiquote.org,0.0,54
royalcaribbean.com,0.01838365477463222,7
sainsburys.co.uk,0.0,54
missouri.edu,0.0,54
sage.com,0.10282186948853611,9
elcomercio.pe,0.0012562814070351536,6
hola.org,0.02421485268460455,46
pageuppeople.com,0.007240659817705275,29
sleepfoundation.org,0.0,16
2gis.ru,0.04651279556143384,47
alibaba-inc.com,0.0958025446474291,54
amazon.se,0.13877551020408163,7
goethe.de,0.03105590062111807,23
cnblogs.com,0.016637020153848492,52
allocine.fr,0.05762944579448381,18
correios.com.br,0.033333333333333326,30
hzmklvdieo.com,0.0,54
prom.ua,0.04060082880088367,54
lothar.com,0.0,50
webnode.com,0.0,54
soinluck.com,0.0,54
microsoft365.com,0.0,51
ctrip.com,0.042921750970716044,44
mercadolivre.com,0.009339591692532845,34
