,Domain,Num_Trackers_Per_Domain_No_Interaction,Num_Trackers_Per_Domain_Disable_Only_Tracking
0,agora.io,2.0,0.0
1,app.link,7.0,0.0
2,atlasobscura.com,11.0,9.0
3,avg.com,87.0,0.0
4,blackboard.com,7.0,6.0
5,bmj.com,15.0,0.0
6,branch.io,7.0,0.0
7,breitbart.com,132.0,41.0
8,cancer.org,203.0,151.0
9,databricks.com,35.0,3.0
10,deloitte.com,111.0,95.0
11,discogs.com,3.0,2.0
12,docusign.com,75.0,8.0
13,dxc.com,1.0,2.0
14,eyeota.net,22.0,16.0
15,flightradar24.com,1.0,1.0
16,fujitsu.com,9.0,0.0
17,gamespot.com,173.0,204.0
18,gartner.com,3.0,2.0
19,goguardian.com,23.0,13.0
20,greenhouse.io,70.0,25.0
21,hp.com,41.0,81.0
22,kaltura.com,3.0,0.0
23,logitech.com,22.0,29.0
24,mimecast.com,31.0,6.0
25,mimecast.net,31.0,6.0
26,mlb.com,473.0,77.0
27,newscientist.com,240.0,0.0
28,nvidia.com,63.0,8.0
29,paloaltonetworks.com,18.0,8.0
30,pendo.io,7.0,5.0
31,premierleague.com,2.0,6.0
32,pubnub.com,6.0,0.0
33,rackspace.com,5.0,4.0
34,rackspacecloud.com,11.0,4.0
35,screenconnect.com,81.0,57.0
36,sendinblue.com,4.0,4.0
37,sketchup.com,26.0,14.0
38,slate.com,1103.0,344.0
39,surveymonkey.com,58.0,0.0
40,tapjoy.com,14.0,15.0
41,technologyreview.com,24.0,13.0
42,thomsonreuters.com,10.0,10.0
43,worldcat.org,5.0,6.0
44,wufoo.com,30.0,17.0
45,zend.com,8.0,7.0
46,zoom.us,53.0,2.0
47,docker.com,0.0,2.0
48,fifa.com,0.0,2.0
49,onetrust.com,0.0,2.0
50,ssrn.com,0.0,3.0
51,freepik.com,0.0,0.0
52,verisign.com,0.0,0.0
53,swrve.com,0.0,0.0
54,symantec.com,0.0,0.0
55,gumgum.com,0.0,0.0
56,yieldmo.com,0.0,0.0
57,flaticon.com,0.0,0.0
58,osu.edu,0.0,0.0
59,adtelligent.com,0.0,0.0
60,playrix.com,0.0,0.0
61,thawte.com,0.0,0.0
62,broadcom.com,0.0,0.0
63,mastercard.com,0.0,0.0
64,yumpu.com,0.0,0.0
65,epam.com,0.0,0.0
66,uefa.com,0.0,0.0
67,rockstargames.com,0.0,0.0
68,siteground.com,0.0,0.0
69,senderscore.com,0.0,0.0
70,mynavi.jp,0.0,0.0
71,lnk.to,0.0,0.0
72,siteground.biz,0.0,0.0
73,smartthings.com,0.0,0.0
