,Domain,Num_Trackers_Per_Domain_No_Interaction,Num_Trackers_Per_Domain_Disable_Only_Tracking
0,aap.org,66.0,75.0
1,active.com,44.0,24.0
2,adweek.com,171.0,96.0
3,agora.io,2.0,0.0
4,americanbar.org,31.0,6.0
5,app.link,7.0,0.0
6,apptimize.com,1.0,48.0
7,atlasobscura.com,12.0,9.0
8,avg.com,91.0,0.0
9,avid.com,38.0,26.0
10,blackboard.com,7.0,6.0
11,bmj.com,15.0,0.0
12,branch.io,7.0,0.0
13,breitbart.com,138.0,83.0
14,cancer.org,214.0,137.0
15,ccleaner.com,1.0,1.0
16,complex.com,154.0,77.0
17,databricks.com,32.0,3.0
18,deloitte.com,88.0,77.0
19,discogs.com,10.0,2.0
20,docusign.com,77.0,8.0
21,domain.com,11.0,0.0
22,esri.com,15.0,5.0
23,ets.org,1.0,0.0
24,eyeota.net,16.0,17.0
25,fantasypros.com,1016.0,98.0
26,flightradar24.com,1.0,1.0
27,freepik.es,5.0,4.0
28,fujitsu.com,7.0,0.0
29,gamespot.com,3213.0,94.0
30,gartner.com,3.0,2.0
31,goguardian.com,17.0,21.0
32,greenhouse.io,80.0,21.0
33,gulfnews.com,1818.0,319.0
34,hp.com,84.0,79.0
35,kaltura.com,3.0,0.0
36,logi.com,12.0,35.0
37,logitech.com,36.0,21.0
38,military.com,10.0,6.0
39,mimecast.com,25.0,6.0
40,mimecast.net,25.0,6.0
41,mlb.com,383.0,528.0
42,myfonts.com,22.0,25.0
43,newscientist.com,447.0,2.0
44,nvidia.com,66.0,7.0
45,oclc.org,2.0,2.0
46,pandasecurity.com,5.0,5.0
47,pb.com,9.0,8.0
48,pendo.io,6.0,7.0
49,premierleague.com,4.0,6.0
50,pubnub.com,6.0,0.0
51,rackspace.com,5.0,4.0
52,rackspacecloud.com,11.0,4.0
53,sabre.com,14.0,13.0
54,screenconnect.com,67.0,59.0
55,sendinblue.com,4.0,4.0
56,sketchup.com,24.0,15.0
57,slate.com,197.0,244.0
58,splunk.com,2.0,14.0
59,sportingnews.com,823.0,556.0
60,surveymonkey.com,49.0,0.0
61,tapjoy.com,14.0,13.0
62,technologyreview.com,38.0,13.0
63,thomsonreuters.com,9.0,9.0
64,worldcat.org,6.0,6.0
65,wufoo.com,30.0,14.0
66,zend.com,9.0,8.0
67,zoom.us,55.0,2.0
68,docker.com,0.0,2.0
69,dxc.com,0.0,2.0
70,fifa.com,0.0,2.0
71,mendeley.com,0.0,3.0
72,narvar.com,0.0,1.0
73,onetrust.com,0.0,2.0
74,playtika.com,0.0,1.0
75,rioseo.com,0.0,1.0
76,snowflake.com,0.0,32.0
77,spglobal.com,0.0,3.0
78,ssrn.com,0.0,3.0
79,urbanairship.com,0.0,3.0
80,freepik.com,0.0,0.0
81,verisign.com,0.0,0.0
82,swrve.com,0.0,0.0
83,symantec.com,0.0,0.0
84,gumgum.com,0.0,0.0
85,yieldmo.com,0.0,0.0
86,flaticon.com,0.0,0.0
87,osu.edu,0.0,0.0
88,adtelligent.com,0.0,0.0
89,playrix.com,0.0,0.0
90,thawte.com,0.0,0.0
91,broadcom.com,0.0,0.0
92,mastercard.com,0.0,0.0
93,yumpu.com,0.0,0.0
94,epam.com,0.0,0.0
95,uefa.com,0.0,0.0
96,siteground.com,0.0,0.0
97,senderscore.com,0.0,0.0
98,mynavi.jp,0.0,0.0
99,lnk.to,0.0,0.0
100,siteground.biz,0.0,0.0
101,smartthings.com,0.0,0.0
102,nap.edu,0.0,0.0
103,deltadna.net,0.0,0.0
104,imperial.ac.uk,0.0,0.0
105,doodle.com,0.0,0.0
106,vertamedia.com,0.0,0.0
107,justpremium.com,0.0,0.0
108,rightmove.co.uk,0.0,0.0
109,watchguard.com,0.0,0.0
110,exoclick.com,0.0,0.0
111,2k.com,0.0,0.0
112,geotrust.com,0.0,0.0
113,rte.ie,0.0,0.0
114,quovadisglobal.com,0.0,0.0
115,siteground.us,0.0,0.0
116,match.com,0.0,0.0
117,kcl.ac.uk,0.0,0.0
