URL_AFTER_REDIRECT|DOMAIN|INTERACTION_TYPE|STATUS|INITIAL_REQUEST|SECOND_REQUEST|NON-PERIODIC_REQUESTS
https://mail.ru/|mail.ru|0|1|207|334|201
https://mail.ru/|mail.ru|1|1|989|369|989
https://mail.ru/|mail.ru|2|None|1235|369|1235
https://zoom.us/|zoom.us|0|1|258|355|257
https://zoom.us/|zoom.us|1|None|1045|376|1042
https://zoom.us/|zoom.us|2|None|887|369|884
https://european-union.europa.eu/select-language?destination=/node/1|europa.eu|0|1|28|5|28
https://european-union.europa.eu/select-language?destination=/node/1|europa.eu|1|1|263|376|263
https://european-union.europa.eu/select-language?destination=/node/1|europa.eu|2|None|231|368|231
https://stackoverflow.com/|stackoverflow.com|0|1|45|6|45
https://stackoverflow.com/|stackoverflow.com|1|1|272|328|272
https://stackoverflow.com/|stackoverflow.com|2|-2|278|352|278
https://www.teamviewer.com/en-us/|teamviewer.com|0|1|113|105|113
https://www.teamviewer.com/en-us/|teamviewer.com|1|1|582|333|580
https://www.teamviewer.com/en-us/|teamviewer.com|2|None|551|336|551
https://www.amazon.co.uk/|amazon.co.uk|0|1|275|28|269
https://www.amazon.co.uk/|amazon.co.uk|1|1|702|388|702
https://www.amazon.co.uk/|amazon.co.uk|2|-2|888|379|888
https://www.hp.com/us-en/home.html|hp.com|0|1|153|222|151
https://www.hp.com/us-en/home.html|hp.com|1|1|823|379|823
https://www.hp.com/us-en/home.html|hp.com|2|-2|790|366|790
https://us.alibabacloud.com/en|alibabacloud.com|0|1|259|352|259
https://us.alibabacloud.com/en|alibabacloud.com|1|1|1266|0|1266
https://us.alibabacloud.com/en|alibabacloud.com|2|2|993|379|993
https://www.rackspace.com/|rackspace.com|0|1|100|22|100
https://www.rackspace.com/|rackspace.com|1|1|498|376|498
https://www.rackspace.com/|rackspace.com|2|2|535|368|535
https://www.freepik.com/|freepik.com|0|1|547|355|547
https://www.freepik.com/|freepik.com|1|1|1553|193|1553
https://www.freepik.com/|freepik.com|2|-2|1505|257|1505
https://www.springer.com/us|springer.com|0|1|17|7|17
https://www.springer.com/us|springer.com|1|1|343|376|343
https://www.springer.com/us|springer.com|2|-2|332|384|332
https://www.nature.com/|nature.com|0|1|163|206|161
https://www.nature.com/|nature.com|1|1|575|376|575
https://www.nature.com/|nature.com|2|-2|644|368|644
https://www.indexexchange.com/|indexexchange.com|0|1|50|137|50
https://www.indexexchange.com/|indexexchange.com|1|1|660|378|660
https://www.indexexchange.com/|indexexchange.com|2|None|683|371|683
https://www.surveymonkey.com/|surveymonkey.com|0|1|196|104|191
https://www.surveymonkey.com/|surveymonkey.com|1|1|760|379|718
https://www.surveymonkey.com/|surveymonkey.com|2|None|750|404|723
https://www.paloaltonetworks.com/|paloaltonetworks.com|0|1|248|177|243
https://www.paloaltonetworks.com/|paloaltonetworks.com|1|None|802|364|797
https://www.paloaltonetworks.com/|paloaltonetworks.com|2|-2|846|372|841
https://www.nvidia.com/en-us/|nvidia.com|0|1|189|157|179
https://www.nvidia.com/en-us/|nvidia.com|1|1|803|373|784
https://www.nvidia.com/en-us/|nvidia.com|2|-2|754|356|735
https://mail.ru/|mail.ru|0|1|329|374|323
https://mail.ru/|mail.ru|1|1|997|375|997
https://mail.ru/|mail.ru|2|None|1214|369|1214
https://www.verisign.com/|verisign.com|0|1|27|0|27
https://www.verisign.com/|verisign.com|1|1|253|392|253
https://www.verisign.com/|verisign.com|2|None|262|368|262
https://www.swrve.com/|swrve.com|0|1|82|28|82
https://www.swrve.com/|swrve.com|1|1|518|370|518
https://www.swrve.com/|swrve.com|2|2|502|352|502
https://www.businesswire.com/portal/site/home/|businesswire.com|0|1|393|368|392
https://www.businesswire.com/portal/site/home/|businesswire.com|1|1|782|378|782
